verbatim;parent;type;edited;source
Cistus ×picardianus;Cistus chinamadensis;name;Cistus ×picardianus;wikidata
Cistus dansereaui;Cistus inflatus;name;Cistus dansereaui;wikidata
Cistus obtusifolius;Cistus inflatus;name;Cistus obtusifolius;wikidata
Cistus laxus;Cistus inflatus;name;Cistus laxus;wikidata
Cistus platysepalus;Cistus inflatus;name;Cistus platysepalus;wikidata
Cistus daveauanus;Cistus inflatus;name;Cistus daveauanus;wikidata
Cistus ×oblongifolius;Cistus inflatus;name;Cistus ×oblongifolius;wikidata
Cistus banaresii;Cistus palmensis;name;Cistus banaresii;wikidata
Cistus akamantis;Cistus parviflorus;name;Cistus akamantis;wikidata
Cistus pauranthus;Cistus parviflorus;name;Cistus pauranthus;wikidata
Cistus skanbergii;Cistus parviflorus;name;Cistus skanbergii;wikidata
Cistus ×cymosus;Cistus parviflorus;name;Cistus ×cymosus;wikidata
Cistus ×lenis;Cistus parviflorus;name;Cistus ×lenis;wikidata
Cistus ×mesoensis;Cistus parviflorus;name;Cistus ×mesoensis;wikidata
Cistus ×pagei;Cistus parviflorus;name;Cistus ×pagei;wikidata
Cistus ×porphyreus;Cistus parviflorus;name;Cistus ×porphyreus;wikidata
Cistus cebennensis;Cistus pouzolzii;name;Cistus cebennensis;wikidata
