verbatim;source;edited;type;edited2;usageKey;acceptedUsageKey;parent1;parent2;parent1_usageKey;parent1_acceptedUsageKey;parent2_usageKey;parent2_acceptedUsageKey
Schoenoplectus lacustris × tabernaemontani;florkart;Schoenoplectus lacustris × tabernaemontani;formula;Schoenoplectus lacustris × tabernaemontani;9832419;9832419;Schoenoplectus lacustris;Schoenoplectus tabernaemontani;2710941;2710941;2711157;2711157
Scilla forbesii × luciliae;florkart;Scilla forbesii × luciliae;formula;Scilla forbesii × luciliae;10389299;10389299;Scilla forbesii;Scilla luciliae;2767275;2767275;2767271;2767271
Scilla forbesii × sardensis;florkart;Scilla forbesii × sardensis;formula;Scilla forbesii × sardensis;10048956;10048956;Scilla forbesii;Scilla sardensis;2767275;2767275;2767229;2767229
Scilla luciliae × siehei;florkart;Scilla luciliae × siehei;formula;Scilla luciliae × siehei;NA;NA;Scilla luciliae;Scilla siehei;2767271;2767271;2767277;2767275
Scirpus radicans × sylvaticus;florkart;Scirpus radicans × sylvaticus;formula;Scirpus radicans × sylvaticus;NA;NA;Scirpus radicans;Scirpus sylvaticus;2717291;2717291;2720080;2720080
Scleranthus annuus × perennis;florkart;Scleranthus annuus × perennis;formula;Scleranthus annuus × perennis;9801663;9801663;Scleranthus annuus;Scleranthus perennis;3085894;3085894;3085895;3085895
Scleranthus perennis × polycarpos;florkart;Scleranthus perennis × polycarpos;formula;Scleranthus perennis × polycarpos;NA;NA;Scleranthus perennis;Scleranthus polycarpos;3085895;3085895;7314290;7314290
Sedum acre × mite;florkart;Sedum acre × mite;formula;Sedum acre × mite;NA;NA;Sedum acre;Sedum mite;5362007;5362007;5690501;5361991
Senecio aquaticus × erracticus;florkart;Senecio aquaticus × erraticus;formula;Senecio aquaticus × erraticus;NA;NA;Senecio aquaticus;Senecio erraticus;7908427;7908427;7666490;7666490
Senecio aquaticus × erucifolius;florkart;Senecio aquaticus × erucifolius;formula;Senecio aquaticus × erucifolius;NA;NA;Senecio aquaticus;Senecio erucifolius;7908427;7908427;NA;NA
Senecio vernalis × vulgaris;florkart;Senecio vernalis × vulgaris;formula;Senecio vernalis × vulgaris;10128486;10128486;Senecio vernalis;Senecio vulgaris;6063730;6063730;3108983;3108983
